Campaign report
"May 1, 2022 - May 20, 2022"
Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign type,Campaign ID,Impr.,Views,View rate,Avg. CPV,Cost,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Earned views,Earned playlist additions
Paused,RIO-INSTREAM-T11, --,VND,80000,Daily,Paused,campaign paused; most ads disapproved,Video,1641542535,0,0, --, --,0, --, --, --, --,0,0
Paused,Kids_Doll_ReMKT_Royal Paper_0407, --,VND,2500000,Daily,Paused,campaign paused; most ads disapproved,Video,10470673172,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Cakes_Discovery_Favourite Fruit_2203, --,VND,50000,Daily,Paused,campaign paused,Video,12600494157,0,0, --, --,0, --, --, --, --,0,0
Paused,KIDS TV Discovery T11, --,VND,490000,Campaign Total,Paused,campaign paused; campaign ended; most ads disapproved,Video,1633997211,0,0, --, --,0, --, --, --, --,0,0
Paused,Kid_Doll_ReMKT_Royal Paper_1407, --,VND,25000000,Daily,Paused,campaign paused; most ads disapproved,Video,10560296065,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_FROZEN ELSA_1307, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,13877307999,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery(ReMKT Doll)_Fairy Rapunzel_2302, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12404692450,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Dolls Beauty_Discovery_Mermaid Smart _1503, --,VND,100000,Daily,Paused,campaign paused,Video,12548578035,0,0, --, --,0, --, --, --, --,0,0
Total: Campaigns,,,VND,,,,,,,"2,600,491","356,736",13.72%,23,8172512,37.65%,23.19%,16.31%,2.88%,"285,098","1,001"
Total: Account,,,VND,,,,,,,"2,600,491","356,736",13.72%,23,8172512,37.65%,23.19%,16.31%,2.88%,"285,098","1,001"
Total: Video,,,VND,,,,,Video,,"2,600,491","356,736",13.72%,23,8172512,37.65%,23.19%,16.31%,2.88%,"285,098","1,001"
